Airplane,Certification,Engine,Type,No,Seats,Useful,Profile,Source,Altitude,Speed,Burn,FuelCap,400NMSeats,MPG,SMPG,Range,Endurance
Pipistrel Alpha Electro,,PEM 60MVLC,E,1,2,400,85% cruise,https://www.pipistrel-aircraft.com/aircraft/electric-flight/alpha-electro/#tab-id-2,5000,85,1.5,1.5,2,65.9,131.8,43,1.0
Vari-Eze,Experimental,Continental O-200-A,NA,1,2,650,Max cruise,https://www.kitplanes.com/flight-review-back-to-the-future/,4500,151,4.2,36,3,41.3,82.7,1219,8.6
Sonex Sonex,,Jaibru 3300,NA,1,2,530,Econ cruise,https://www.sonexaircraft.com/35-dollar-hamburger/,2000,113,3.6,17,2,36.1,72.2,477,4.7
Bristel 915,,Rotax 915,T,1,2,500,Econ cruise,https://www.aopa.org/news-and-media/all-news/2020/april/pilot/bristell-915,15000,120,4,31,2,34.5,69.0,870,7.8
Flight Design CTLS,,Rotax 912is,NA,1,2,674,75% cruise,https://www.planeandpilotmag.com/article/2006-flight-design-ct/,-,112,4.5,34,3,28.6,57.2,790,7.6
Diamond DA-40NG,,AE300,TD,1,4,904,Econ cruise,https://www.flyingmag.com/we-fly-diamond-da40-ng/,9500,126,5.1,41,4,28.4,113.6,950,8.0
Long EZ,Experimental,Lycoming O-320,NA,1,2,750,High cruise,http://www.longezpilot.com/N6PC%20page8.htm,3500,184,8.2,50,3,25.8,51.6,1030,6.1
Cessna 172 TDI,,Continental CD-155,TD,1,4,860,Econ cruise,https://www.flyingmag.com/continental-receives-faa-and-easa-stc-for-cessna-172s-equipped-with-cd-155-diesel-engine/,8000,109,4.9,50,4,25.6,102.3,1058,10.2
Technam P2010 TDI,,Continental TD-170,TD,1,4,805,60% power,https://www.tecnam.com/aircraft/p2010tdi-the-first-tecnam-jet-diesel-aircraft/,9000,115,5.2,63,3,25.4,76.3,1336,12.1
Vans RV-9A,,Lycoming O-320,NA,1,2,700,Max endurance,https://vansairforce.com/community/showpost.php?s=0b09a948b7c5609dc69040754c7d9f00&p=203024&postcount=7,8000,150,6.8,36,3,25.4,50.7,719,5.3
Glasair Sportsman,,CD-155,TD,1,3,1000,65% Cruise,https://glasairaviation.com/sportsman/diesel-specs/,8000,122,5.8,50,5,24.2,72.6,991,8.6
Sling TSI,Experimental,Rotax 915,T,1,4,1015,High cruise,https://generalaviationnews.com/2019/03/04/flying-the-sling-tsi/,9000,155,8,45,5,22.3,89.1,794,5.6
Cirrus SR-20,,Continental IO-360 ES,NA,1,4,950,55% power,https://www.planeandpilotmag.com/article/cirrus-sr20/,14000,149,8.1,60,4,21.2,84.6,1029,7.4
Evektor Harmony,,Rotax 912is,NA,1,2,500,Econ cruise,,5000,88,4.9,32,2,20.7,41.3,531,6.5
Cessna 150,,Continental O-200-A,NA,1,2,490,High cruise,https://www.cessnaflyer.org/specifications-105.html,-,107,6,26,2,20.5,41.0,410,4.3
Lancair Evolution Piston,Experimental,Lycoming YTIO-550,T,1,4,1900,Econ cruise,https://www.flyingmag.com/we-fly-lancair-evolution-piston/,17500,202,11.9,168,10,19.5,78.1,2751,14.1
Glasair III RG,Experimental,Lycoming IO-540,NA,1,2,900,High cruise,https://www.youtube.com/watch?v=-SBfVzTO_gU&app=desktop,,205,12.3,85,4,19.2,38.3,1314,6.9
Pipistrel Panthera,Certified,Lycoming IO-540,NA,1,4,1100,65% power,https://rightrudderaviation.com/panthera/,12000,193,12.2,55,5,18.2,72.8,774,4.5
Van's RV-10,Experimental,Lycoming IO-540,NA,1,4,1050,Econ cruise,https://www.pilotsofamerica.com/community/threads/the-van%E2%80%99s-rv-10-is-it-the-perfect-airplane.119616/,9000,155,10,60,5,17.8,71.3,853,6.0
Mooney M-20C,,Lycoming O-360,NA,1,4,950,"FT, 50 deg ROP",http://www.mooneypilots.com/mapalog/M20C%20Evaluation/M20C_Evaluation_Report.html,10000,139,9.5,52,4,16.8,67.3,691,5.5
Mooney M-20F,,Lycoming IO-360,NA,1,4,950,"FT, 50 deg ROP",http://www.mooneypilots.com/mapalog/M20F%20Evaluation/M20F_Evaluation_Report.html,10000,145,10,64,4,16.7,66.7,856,6.4
Diamond DA-42,,Thielert Centurion 1.7,TD,2,4,1053,70% power,https://www.aopa.org/news-and-media/all-news/2006/november/pilot/diamond-aircraft-da42-twin-star,11200,148,10.4,76,5,16.4,65.5,1008,7.3
Diamond DA-62,Certified,AE330 x2,TD,2,7,1609,Econ cruise,https://www.flyingmag.com/we-fly-diamond-da62/,14000,170,11.8,86,8,16.6,82.8,1154,7.3
Mooney M-20J,Certified,Lycoming IO-360,NA,1,4,950,High cruise,http://www.mooneypilots.com/mapalog/M20J%20Evaluation/M20J_evaluation_report.html,10000,158,11.5,56,4,15.8,63.2,690,4.9
Piper Mirage,Certified,Lycoming TIO-540,T,1,5,1223,26in/2200,https://www.aopa.org/news-and-media/all-news/2011/june/01/piper-mirage-pressurization,23000,184,13.4,120,5,15.8,79.0,1556,9.0
Cirrus SR-22T,Certified,Continental TSIO-550,T,1,4,1260,Econ cruise,https://www.aopa.org/news-and-media/all-news/2013/may/pilot/cirrus-sr22t-more-of-a-good-thing,25000,171,12.7,92,6,15.5,61.9,1153,7.2
Piper Commanche 250,Certified,Lycoming IO-540,NA,1,4,1110,60% power,https://www.avweb.com/features/piper-comanche/,8500,178,13.5,90,5,15.2,60.7,1098,6.7
Beech Bonanza A36,Certified,Continental IO-550,NA,1,6,1130,Mid cruise,https://www.beechtalk.net/download/Economical-Baron-ABS-Article.pdf,10000,160,12.5,166,5,14.7,73.6,2045,13.3
Cessna 172SP,,Lycoming IO-360,NA,1,4,859,High cruise,https://www.cospilot.com/aircraft/cessna-172sp.html,8500,124,10.2,53,3,14.0,41.9,582,5.2
Sonex Subsonex,Experimental,PBS TJ-100,J,1,1,500,Econ cruise,http://twinandturbine.com/article/microjet-fun-flying-subsonex-bonus/,17500,189,16,39,1,13.6,13.6,366,2.4
Cessna Silver Eagle 210,Certified,Allison 250 B17,JP,1,6,1270,High cruise,https://www.silvereagleopa.com/for-pilots/,23000,173,16.2,115,5,12.3,61.4,1142,7.1
Beech Baron 58,Certified,Continental IO-520,NA,2,6,1640,Econ cruise,https://www.beechtalk.net/download/Economical-Baron-ABS-Article.pdf,10000,162,17.8,166,7,10.5,62.8,1430,9.3
Lancair Evolution Turbine 850,Experimental,PT6-140A,JP,1,4,1880,Econ cruise,http://www.evolutionaircraft.com/aircraft/evolution-turbine/#specs-top,28000,225,25,168,9,10.4,41.4,1400,6.7
Cessna 182,,Continental O-470,NA,1,4,1377,High cruise,https://www.avweb.com/features/cessna-182-skylane/,6500,139,16.5,84,6,9.7,38.8,638,5.1
TBM 900,Certified,PT6,JP,1,6,2400,Econ cruise,https://www.aopa.org/news-and-media/all-news/2014/april/pilot/1404p_t_tbm,31000,262,39,292,11,7.7,46.4,1831,7.5
Eclipse 550,Certified,PW610F,J,2,5,2400,Mid cruise,http://oneaviation.aero/eclipse/550.php#economics,41000,374,59,251,11,7.3,36.4,1404,4.3
Pilatus PC-12 NG,Certified,PT6A-67P,JP,1,9,2866,Econ cruise,https://www.planeandpilotmag.com/article/second-generation-pilatus-pc-12/,30000,218,42.3,402,13,5.9,53.3,1963,9.5
Cirrus SF-50,Certified,Williams FJ33,J,1,7,2499,Econ cruise,https://www.ainonline.com/aviation-news/general-aviation/2015-12-02/cirrus-teases-vision-sf50-performance-numbers,28000,242,47,215,11,5.9,29.6,986,4.6
Premier 1A,Certified,Williams FJ44-2A,J,2,8,3990,Econ cruise,http://jetav.com/hawker-beechcraft-premier-ia-performance-specs/,41000,369,100,556,18,4.2,33.9,1867,5.6
Hondajet,Certified,GE Honda HF-120-H1A,J,2,6,3400,High cruise,https://www.libertyjet.com/private_jets/HondaJet,,368,160,430,13,2.6,15.9,805,2.7
